Word,Reference,WordSense,POS,NumberOfWords,NumberOfSyllables,RemovalChoice
open,3,open,adjective,1,2,-
out,3,out,adverb,1,1,-
owl,1,owl,noun,1,1,-
papa,1,dad,noun,1,2,-
pig,1,pig,noun,1,1,-
piggy,4,pig,noun,1,2,-
plane,1,plane,noun,1,1,-
plate,2,plate,noun,1,1,-
please,1,please,adverb,1,1,-
poo,4,pooh,noun,1,1,-
poopy,1,pooh,noun,1,2,-
poppet,4,poppet,noun,1,2,-
potty,1,potty,noun,1,2,-
pretend,4,pretend,adjective,1,2,-
push,1,push,verb,1,1,-
pussy,4,cat,noun,1,2,TooDifferent
pussycat,4,cat,noun,1,3,TooDifferent
read,1,read,verb,1,1,-
rock,1,rock,noun,1,1,-
run and do something,4,run and do something,phrase,4,5,MultipleWords
scaredy-cat,4,scaredy-cat,noun,1,4,TooManySyllables
shoe,2,shoe,noun,1,1,-
shoe,3,shoe,noun,1,1,-
shoes,1,shoe,noun,1,1,-
shush,4,shush,interjection,1,1,-
silly billy,4,silly billy,noun,1,4,TooManySyllables
silly,4,silly,noun,1,2,-
sit,1,sit,verb,1,1,-
sit,3,sit,verb,1,1,-
sleep tight,4,sleep tight,interjection,2,2,MultipleWords
so there,4,so there,interjection,2,2,MultipleWords
sock,1,sock,noun,1,1,-
sock,2,sock,noun,1,1,-
spoon,2,spoon,noun,1,1,-
spoon,3,spoon,noun,1,1,-
stab,1,stab,verb,1,1,-
stairs,1,stairs,noun,1,1,-
star,1,star,noun,1,1,-
stop,1,stop,verb,1,1,-
stuck,1,stuck,adjective,1,1,-
sweetie,4,sweetie,noun,1,2,-
table,2,table,noun,1,1,-
tattle,4,tattle,verb,1,1,-
teeny weeny,4,teeny weeny,adjective,1,4,TooManySyllables
teeter-totter,4,teeter-totter,noun,1,4,TooManySyllables
thankyou,1,thankyou,interjection,1,2,-
that will do,4,that will do,phrase,3,3,MultipleWords
that,3,that,conjunction,1,1,-
there,3,there,adverb,1,1,-
this,3,this,pronoun,1,1,-
three,1,three,numeral,1,1,-
tinkle,4,wee,noun,1,1,TooDifferent
too,4,too,adverb,1,1,-
toot,1,toot,noun,1,1,-
tootsies,4,toes,noun,1,2,-
train,1,train,noun,1,1,-
train,2,train,noun,1,1,-
treat,1,treat,verb,1,1,-
tree,1,tree,noun,1,1,-
tree,2,tree,noun,1,1,-
truck,3,truck,noun,1,1,-
tummy,4,tummy,noun,1,2,-
two,1,two,numeral,1,1,-
two,3,two,numeral,1,1,-
uh oh,1,uh oh,interjection,1,2,-
uhoh,3,uh oh,interjection,1,2,-
up,1,up,adverb,1,1,-
up,3,up,adverb,1,1,-
ups-a-daisy,4,ups-a-daisy,interjection,1,4,TooManySyllables
upsy-daisy,4,ups-a-daisy,interjection,1,4,TooManySyllables
wall,1,wall,noun,1,1,-
wash,1,wash,verb,1,1,-
we,4,we,pronoun,1,1,-
wee,4,wee,noun,1,1,-
wee-wee,4,wee,noun,1,2,TooDifferent
whee,3,whee,interjection,1,2,-
whoops-a-daisy,4,ups-a-daisy,interjection,1,4,TooManySyllables
wiener,4,winkle,noun,1,2,-
winkle,4,winkle,noun,1,1,-
with knobs on,4,with knobs on,phrase,3,3,MultipleWords
woof,3,woof,noun,1,1,-
yah-boo,4,yah-boo,interjection,1,2,-
Yahtzee,1,Yahtzee,proper noun,1,2,ProperNoun
yes,3,yes,interjection,1,1,-
yippee,4,whee,interjection,1,2,-
yum,3,yum,interjection,1,1,-
